name,freelance,createdAt,profileName,totalNumberOfFollowing,totalNumberOfFollowers,vizCount,visibleWorkbookCount,lastPublishDate,organization,title,bio,featuredVizRepoUrl,profileUrl,country,state,city
Prajakta Kulkarni,False,2016-08-01,prajaktakc,6,3,74,12,2017-08-12,"University of California , Santa Cruz",,"Prajakta Kulkarni

Data Analyst Intern at Wisran
Student at University of California, Santa Cruz",,https://public.tableau.com/app/profile/prajaktakc,United States,California,San Jose
Taborda,False,2015-09-01,padmajadvr,0,0,35,33,2015-11-02,,,,OverallReadmissionsinCalifornia,https://public.tableau.com/app/profile/padmajadvr,United States,California,California
Eddie,False,2020-07-01,eddie7388,0,0,3,1,2020-07-30,University of Southern California,,,,https://public.tableau.com/app/profile/eddie7388,United States,California,
Haiping,False,2017-01-01,haiping,33,48,421,49,2018-02-19,,,,Week45-LifeExpectancyatBirth,https://public.tableau.com/app/profile/haiping,United States,California,Los Angeles
Amit Dheemate,False,2019-06-01,amitdheemate,24,16,182,36,2020-11-24,,,#vizzup ,,https://public.tableau.com/app/profile/amitdheemate,United States,California,
Kendra,False,2019-03-01,kendraspock,41,41,76,10,2021-05-19,InterWorks,,,InterWorksSpotifyWrapped,https://public.tableau.com/app/profile/kendraspock,United States,California,Campbell
CCSA Research,False,2015-08-01,ccsa.research,0,8,341,61,2021-08-17,California Charter Schools Association,,"The California Charter Schools Association meets the parent, educator, and community need for great public school options by supporting and advocating for high quality non-profit charter schools and sharing their success throughout California’s public schools. CCSA is a trusted source of data and information on California's charter schools for parents, authorizers, legislators, the press and other interested groups.

",UnderstandingChangestoStateAccountability103019,https://public.tableau.com/app/profile/ccsa.research,United States,California,
Ninad Rao,False,2019-08-01,ninad.rao,75,24,26,8,2021-04-24,Amazon,Business Intelligence Engineer,,Multi-LevelSankeyTemplate_16106791665540,https://public.tableau.com/app/profile/ninad.rao,United States,California,
Suk Brar,False,2016-03-01,suk.brar,0,5,6,1,2018-06-01,Blue Shield of California,,BI professional,,https://public.tableau.com/app/profile/suk.brar,United States,California,El Dorado Hills
Patrick Bacon,False,2020-02-01,topdownhockey,0,60,20,9,2021-10-24,Data Science,,,NHLEquivalencyandProspectProjections,https://public.tableau.com/app/profile/topdownhockey,United States,California,Fremont
Maki T,False,2020-07-01,maki.t,36,13,982,109,2021-10-09,,,,,https://public.tableau.com/app/profile/maki.t,United States,California,
Jenny Kwon,False,2019-06-01,jenny.kwon,0,1,199,22,2021-07-26,"University of California, Berkeley",,,,https://public.tableau.com/app/profile/jenny.kwon,United States,California,Berkeley
Vrushali Banda,False,2020-08-01,vrushali.banda,22,7,108,20,2021-09-10,California State University-East Bay,,"Masters in Business Analytics, California State University | Data Analyst | Aspiring Data Science professional",,https://public.tableau.com/app/profile/vrushali.banda,United States,California,San Francisco Bay Area
Desiree' Abbott,False,2016-08-01,desiree.abbott,12,156,267,89,2021-05-26,"Limeade, Inc",,,WildemountDashboard,https://public.tableau.com/app/profile/desiree.abbott,United States,California,San Francisco
Isaac Menashe,False,2018-02-01,isaac.menashe4833,1,0,40,5,2020-11-18,Covered California,,,,https://public.tableau.com/app/profile/isaac.menashe4833,United States,California,
Dave Kramberg,False,2018-07-01,dave.kramberg,3,13,125,19,2021-10-26,,,,PublicCompaniesProfitbyEmployee-2020,https://public.tableau.com/app/profile/dave.kramberg,United States,California,
Satomi Furuichi,False,2020-08-01,satomi.furuichi,0,0,30,3,2021-10-10,California State University,Institutional Research Analyst,,,https://public.tableau.com/app/profile/satomi.furuichi,United States,California,
Cal State L.A. Institutional Research,False,2015-09-01,cal.state.l.a.institutional.research,0,7,10,2,2017-06-26,"California State University, Los Angeles",,,,https://public.tableau.com/app/profile/cal.state.l.a.institutional.research,United States,California,Los Angeles
Daniel Relihan,False,2020-07-01,daniel.relihan,0,0,0,0,,University of California Irvine,,,,https://public.tableau.com/app/profile/daniel.relihan,United States,California,
Steven Graves,False,2020-03-01,steven.graves,2,0,0,0,,"California State University, Northridge",,"Geographer at California State Unversity, Northridge.",,https://public.tableau.com/app/profile/steven.graves,United States,California,Northridge
Criselda Dimacali,False,2020-07-01,criselda.dimacali,0,0,58,4,2020-07-29,University of California - Berkeley,,,,https://public.tableau.com/app/profile/criselda.dimacali,United States,California,
Kermit Khiv,False,2017-08-01,kermitkhiv,59,33,231,33,2017-11-30,,,,Week39-RestrictedDietaryRequirementsAcrosstheGlobe,https://public.tableau.com/app/profile/kermitkhiv,United States,California,Long Beach
E Harris,False,2019-10-01,elsa.harris,11,11,4,1,2019-11-09,,,,,https://public.tableau.com/app/profile/elsa.harris,United States,California,
Jayzee Francisco,False,2018-07-01,jayzee.francisco,9,12,87,21,2021-10-15,,,,FastfoodNationMMwk50,https://public.tableau.com/app/profile/jayzee.francisco,United States,California,
Manali,False,2017-08-01,manali5447,60,7,2,1,2017-08-16,,,,,https://public.tableau.com/app/profile/manali5447,United States,California,
Willa Yu,False,2019-10-01,willa.yu,0,0,36,5,2020-05-06,"University of California, Davis",,,RollingStone100greatestalbums-DataVizFinal-WillaYu,https://public.tableau.com/app/profile/willa.yu,United States,California,
Cassie Zhang,False,2019-07-01,cassie.jingyi.zhang,4,4,22,4,2020-08-11,"University of California, Santa Barbara & Pepperdine University",,,,https://public.tableau.com/app/profile/cassie.jingyi.zhang,United States,California,Los Angeles
Binh Tran,False,2019-02-01,binh.tran,0,1,23,0,2019-03-22,University of Southern California,,,,https://public.tableau.com/app/profile/binh.tran,United States,California,Los Angeles
Branden Robert Hopson,False,2021-10-01,beeehop,0,0,10,2,2021-10-28,"California State University, Fullerton",Business Analytics Student,,,https://public.tableau.com/app/profile/beeehop,United States,California,Orange
Yu Dong,False,2018-01-01,yu.dong,5,43,805,224,2021-11-09,,,,,https://public.tableau.com/app/profile/yu.dong,United States,California,San Francisco
Mindy Huang ,False,2018-04-01,mindy.huang,0,0,5,1,2018-04-19,University of Southern California,,,,https://public.tableau.com/app/profile/mindy.huang,United States,California,
Jennifer Kuo,False,2018-06-01,jennifer.kuo,8,10,173,31,2019-05-17,,,,RhinoPoachingbetween2006-2016,https://public.tableau.com/app/profile/jennifer.kuo,United States,California,
Gabriel Morin,False,2017-08-01,gabriel.morin,2,1,20,3,2018-04-25,University of Southern California,,,RAPTab,https://public.tableau.com/app/profile/gabriel.morin,United States,California,Los Angeles
Rebecca Shay,False,2018-03-01,rebecca.shay,14,10,61,9,2021-04-19,,,,MakeoverMonday2021Wk12,https://public.tableau.com/app/profile/rebecca.shay,United States,California,
Shruti Saxena,False,2017-11-01,shruti.saxena,0,0,8,1,2018-08-10,"University of California, Davis",,,,https://public.tableau.com/app/profile/shruti.saxena,United States,California,
UC Berkeley Library Assessement Program,False,2017-10-01,laag,4,6,73,10,2020-05-15,,,,,https://public.tableau.com/app/profile/laag,United States,California,
Zhengyu Jiang,False,2020-08-01,zhengyu.jiang,0,0,11,0,2020-08-20,"University of California, San Diego",,,,https://public.tableau.com/app/profile/zhengyu.jiang,United States,California,
Tony DiPietra,False,2015-06-01,tony.dipietra,79,42,37,30,2018-12-28,,,,MammothMountainSnowfallHistory,https://public.tableau.com/app/profile/tony.dipietra,United States,California,Los Angeles
Honey Shahi,False,2017-02-01,honey.shahi3356,41,41,21,11,2020-05-21,USEReady,,,Covid-19_15900849520710,https://public.tableau.com/app/profile/honey.shahi3356,United States,California,Sunnyvale
Ankita Jaiswal,False,2020-04-01,ankita.jaiswal,13,8,4,4,2020-06-19,,,,EcommerceAnalysis_15906225985270,https://public.tableau.com/app/profile/ankita.jaiswal,United States,California,
Riley Martin,False,2018-11-01,riley.martin5287,2,38,103,8,2021-07-16,,,,WayneGretzkyCareer-TheGreatOne,https://public.tableau.com/app/profile/riley.martin5287,United States,California,San Francisco
Siddharth,False,2021-06-01,siddharth1396,0,0,16,3,2021-11-09,University of Southern California,,,,https://public.tableau.com/app/profile/siddharth1396,United States,California,Los Angeles
Los Angeles City Controller's Office,False,2015-09-01,la.controller,1,38,107,9,2017-06-22,,,,,https://public.tableau.com/app/profile/la.controller,United States,California,Los Angeles
Makenzie Lary,False,2018-12-01,makenzie8142,39,5,0,0,,,,,,https://public.tableau.com/app/profile/makenzie8142,United States,California,
Anne Bonner,False,2018-08-01,anne1834,0,5,98,16,2018-09-25,,,,,https://public.tableau.com/app/profile/anne1834,United States,California,
Monika M.,False,2018-10-01,monika.majewska,40,8,14,11,2021-07-29,,,,MoviesCookbookNEW,https://public.tableau.com/app/profile/monika.majewska,United States,California,
Geoff Farrell,False,2021-01-01,geoff.farrell,0,0,21,6,2021-10-10,"University of California, Irvine",,,MostPopularStartEndStations-2019vs2020_twbx,https://public.tableau.com/app/profile/geoff.farrell,United States,California,Anaheim
Matthew Albanese,False,2019-06-01,matthew.albanese,0,0,1,1,2020-02-05,Holt of California,,,,https://public.tableau.com/app/profile/matthew.albanese,United States,California,Sacramento
Josh Buchmeier,False,2015-11-01,jbuchmeier,94,22,170,47,2020-01-11,,,,,https://public.tableau.com/app/profile/jbuchmeier,United States,California,Los Angeles
TELEX2013,False,,telex2013,0,0,7,1,2013-12-18,,,,CAMEROONCITIES,https://public.tableau.com/app/profile/telex2013,,,
Maneesh Gaddam,True,2017-02-01,maneesh.gaddam,12,8,21,13,2021-07-24,,,,FIFAWorldCup2018Qualifiers_0,https://public.tableau.com/app/profile/maneesh.gaddam,United States,California,
"Institutional Research, Assessment, & Policy Studies",False,2018-03-01,ucsc.iraps,0,1,4,0,2020-02-05,"University of California, Santa Cruz",,,,https://public.tableau.com/app/profile/ucsc.iraps,United States,California,Santa Cruz
TikTok Leads,False,2019-12-01,tiktokleads,0,4,47,1,2020-08-10,,,,,https://public.tableau.com/app/profile/tiktokleads,United States,California,
Bala Vedagiriseenivasan,False,2018-09-01,bala.vedagiriseenivasan,0,0,2,2,2018-10-03,Automobile Club of Southern California,,,,https://public.tableau.com/app/profile/bala.vedagiriseenivasan,United States,California,
Danial A. Azman,False,2020-11-01,danial.azman,0,0,5,1,2020-11-09,"University of California, Davis",,,,https://public.tableau.com/app/profile/danial.azman,United States,California,Davis
Mina Rohani,False,2020-11-01,mina.rohani,0,0,0,0,,Saint Mary's College of California,,,,https://public.tableau.com/app/profile/mina.rohani,United States,California,
Paul Tutty,False,2018-07-01,paul2867,0,0,8,1,2018-08-01,"University of California, Irvine",,,,https://public.tableau.com/app/profile/paul2867,United States,California,Irvine
Lily Hallmark,False,2018-07-01,lily.hallmark,0,0,7,0,2018-12-07,"University of California, Davis",,,,https://public.tableau.com/app/profile/lily.hallmark,United States,California,
Fui Fang Thong,False,2018-03-01,fui.fang.thong,0,0,1,1,2018-08-24,California Energy Commission,,,,https://public.tableau.com/app/profile/fui.fang.thong,United States,California,
